Age,Annual_Income,Spending_Score,Years_as_Customer,Total_Transactions,Returned_Items,Online_Orders,In_Store_Purchases,Product_Ratings,Complaints_Received
56,39930,10,10,33,0,21,25,3.519486062256376,3
69,33285,4,14,48,5,0,30,3.303819649743581,0
46,65863,67,1,3,0,20,7,1.550863765920886,2
32,46704,25,5,2,7,47,34,3.7815175603395783,3
60,48705,87,13,38,9,82,33,2.4417430988812203,4
25,30555,91,6,40,8,71,9,3.0651793326004277,4
38,51323,78,17,39,5,4,39,2.4626150949443697,1
56,96922,61,15,39,8,39,43,1.0879994808917188,2
36,83915,38,7,24,1,92,11,4.506215285257177,4
40,40619,32,8,21,8,81,40,1.594933773177106,2
28,89274,23,2,18,3,92,26,3.3286922510874173,4
28,51225,37,18,35,2,78,18,4.532524054452522,2
41,56739,3,7,11,0,44,25,1.8853169984945195,2
53,77708,99,16,11,0,30,14,2.648058930515493,2
57,83019,13,19,3,7,14,30,2.510927927606329,1
41,37373,34,9,23,1,57,45,1.3568819217192396,0
20,65281,88,12,1,0,52,36,2.6940690831877667,2
39,50187,65,14,23,1,44,17,2.9179139445299085,0
19,97863,76,7,22,2,66,28,1.1063893283492003,0
41,69220,8,2,42,3,41,43,2.9525750295960127,0
61,37642,83,17,30,8,96,26,1.375320510167993,4
47,85556,9,11,2,6,23,37,4.569850637425459,3
55,63760,28,18,17,4,37,19,3.600630992059475,0
19,68192,78,12,41,4,50,20,1.225707730343193,2
38,34381,91,3,20,5,23,28,4.308172072290043,3
50,49558,18,14,9,0,76,42,2.4463977975948605,4
29,60782,42,15,11,5,90,14,1.902468556834373,1
39,34782,41,19,17,5,32,21,2.015684864495263,0
61,84712,70,10,14,4,18,22,3.3908743494600317,0
42,49462,33,9,18,9,24,3,1.326211738606606,4
66,90030,89,10,18,8,69,23,1.234980545031314,2
44,98519,77,4,44,9,96,13,3.510052186301796,2
59,86411,54,19,8,9,88,36,4.927637877612771,3
45,85206,87,10,29,4,86,20,2.9337136571581772,3
33,76950,36,17,8,8,48,42,2.6531333080947515,2
32,32523,97,12,26,9,16,38,4.788790810983755,1
64,90926,85,1,28,6,20,12,1.9639623243582949,2
68,39677,98,11,8,2,42,18,1.9621641325396744,1
61,45089,56,13,20,8,83,25,4.620464452242662,4
69,34581,17,1,47,9,75,35,3.58772471839585,1
20,41907,10,1,8,6,76,43,1.2151351535506079,4
54,35609,87,16,14,3,81,45,3.695909631681779,0
68,81153,44,7,13,8,21,32,4.280126165026028,2
24,80539,2,10,40,5,62,39,2.095813270967852,3
38,74143,99,16,17,8,23,15,2.5315714971260648,0
26,52936,14,1,26,3,32,18,1.7907064715674998,3
56,80182,41,9,6,9,66,36,3.5333850779273748,1
35,43163,2,6,17,1,80,13,3.6567794767765447,2
21,89758,19,15,4,8,95,43,1.2741433256718886,2
42,76057,80,4,25,9,16,43,3.710818603676397,2
31,42537,89,15,7,3,47,29,3.633818336606108,0
67,52419,1,10,17,1,43,30,1.1405378336920773,4
26,72578,2,16,22,6,24,19,3.221480304539487,1
43,30834,27,13,28,6,71,43,3.4557537343426614,0
19,62214,2,19,6,4,98,42,2.720622628727347,0
37,32413,94,4,30,4,59,46,4.605268702381853,4
45,39505,51,16,10,7,28,6,2.3134772775884844,3
64,32105,10,11,39,5,11,41,1.2687134880073825,3
24,98104,19,15,14,0,99,36,3.687411979882621,2
61,88408,80,11,46,3,8,46,3.420881009373278,0
25,67679,13,11,42,0,89,1,4.956234042331848,4
64,95131,48,3,22,4,85,21,1.9252331239050475,4
52,94280,56,17,41,4,52,12,2.581977545655241,3
31,45762,72,5,26,3,60,45,2.8447191878425984,4
34,88703,56,13,10,8,30,37,4.446031548746047,3
53,93079,50,10,2,7,47,30,2.6582719669164065,3
67,51577,95,5,3,9,93,0,4.088593298099873,0
57,31214,45,12,48,2,78,46,1.6277709060850252,1
21,78114,89,8,42,4,46,42,2.6391375749808748,2
19,93230,59,12,11,5,32,12,1.6199097932638686,1
23,62980,39,16,10,4,66,16,4.798715459764077,4
59,97194,21,2,12,7,97,3,1.7110292174338166,1
21,67792,55,3,14,4,63,42,2.6762909342017456,1
46,75807,57,18,30,7,16,30,1.3290428918399386,3
35,52301,41,17,41,9,43,32,4.685534087992327,0
43,35141,93,2,13,9,4,13,3.4952750697432036,4
61,43777,70,12,30,2,93,20,4.849825050324189,2
51,68346,82,17,38,4,61,21,1.1690865408871045,3
27,84703,49,6,11,3,62,4,1.6999140358167724,2
53,77819,44,17,1,5,78,36,2.5201953065854514,0
31,58469,35,2,27,2,38,31,3.4854396063825743,1
48,33845,91,8,47,9,71,2,2.318070692288072,1
65,53290,5,14,39,3,41,40,3.8474960815935626,0
32,60699,71,6,43,3,91,12,1.660518187526665,4
25,74252,74,9,49,4,20,10,3.402546234312837,3
31,33293,74,1,37,5,46,49,2.5918647108317594,1
40,87089,51,5,9,1,73,41,3.0329639147940806,0
57,46608,57,7,48,9,27,37,3.2785322442835376,3
38,96273,58,9,43,7,20,23,1.2395835210416268,3
33,46619,92,14,26,3,27,8,4.696097045107459,0
62,44779,36,9,25,6,85,12,4.144367340605042,1
35,81040,10,4,17,6,18,21,2.7698231549588974,4
64,86325,50,15,6,9,62,17,3.1898779937096813,1
41,51630,99,4,15,1,51,9,1.1301424121091403,1
43,42178,99,3,3,6,37,46,2.9917893340321373,1
42,49935,37,14,31,0,45,11,2.7052637651016385,1
62,77258,20,9,28,1,23,29,2.497941067676196,2
58,52784,13,19,9,4,91,46,4.261408534550577,0
46,93722,75,6,44,7,44,45,1.7276974980921267,4
32,53027,19,3,18,6,76,18,1.7052409981360332,4
62,87853,92,18,48,2,8,18,3.0867113043911614,2
18,97359,56,16,40,9,8,9,3.7485753153997434,4
42,45111,45,3,32,8,20,0,1.089762118034658,2
24,62312,60,2,19,4,23,6,3.183361960979876,2
26,54161,68,2,5,2,94,10,2.1947965149149153,4
41,97313,57,10,44,6,63,3,4.027526072084012,4
18,80374,54,15,6,3,92,35,2.8754876279064407,1
61,54014,37,3,12,0,39,20,4.336301060230831,2
25,76389,83,8,47,4,73,21,2.587903902081185,3
41,48161,37,18,42,7,51,9,4.308358195097195,0
28,37490,14,11,17,3,3,22,3.8660283368567057,1
68,54502,95,7,39,6,2,4,4.313029547162093,2
34,65757,92,19,7,7,12,47,4.249681852866665,1
25,71111,44,7,11,8,20,11,2.9454576739332903,1
52,88645,83,2,34,8,7,29,2.472365632475207,0
52,89055,42,6,2,4,72,32,4.06057936352033,4
50,38998,1,5,14,5,0,36,2.446096307131757,4
22,58906,23,14,18,6,13,17,1.3575862815442332,0
59,80477,64,18,48,9,75,3,4.43537858962752,1
56,66901,28,4,43,1,35,26,2.5887929474451594,2
58,82021,4,4,9,8,21,46,1.530415803052275,4
45,59092,41,13,39,0,35,22,3.5859072507598007,3
24,31242,60,1,4,5,44,5,4.559092991325224,2
26,31831,18,5,48,5,15,6,4.443862084011311,1
25,80721,63,3,14,6,10,18,3.217787282902686,3
